2012-11-16 12:59:20 Notice: Notice (8): Undefined variable: id in [/home/blabincc/erp.blabinc.com/app/controllers/users_controller.php, line 177]
2012-11-16 12:59:49 Notice: Notice (8): Undefined variable: id in [/home/blabincc/erp.blabinc.com/app/controllers/users_controller.php, line 177]
2012-11-17 07:37:29 Notice: Notice (8): Undefined variable: intext in [/home/blabincc/erp.blabinc.com/app/views/locations/client_nearme.ctp, line 24]
2012-11-17 07:38:26 Notice: Notice (8): Undefined variable: intext in [/home/blabincc/erp.blabinc.com/app/views/locations/client_nearme.ctp, line 25]
2012-11-17 07:43:51 Notice: Notice (8): Undefined variable: id in [/home/blabincc/erp.blabinc.com/app/controllers/locations_controller.php, line 84]
2012-11-17 08:10:22 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:10:31 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:10:43 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:11:04 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:11:15 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:11:22 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 08:11:41 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-17 09:03:12 Notice: Notice (8): Undefined property: ThemeView::$GoogleMap in [/home/blabincc/erp.blabinc.com/app/views/locations/client_nearme.ctp, line 3]
2012-11-17 09:05:27 Notice: Notice (8): Undefined variable: options in [/home/blabincc/erp.blabinc.com/app/views/locations/client_nearme.ctp, line 34]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: method in [/home/blabincc/erp.blabinc.com/cake/libs/object.php, line 199]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: code in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 138]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: name in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 139]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: message in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 140]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: code in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 141]
2012-11-18 11:44:20 Notice: Notice (8): Undefined variable: name in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 142]
2012-11-18 11:44:40 Notice: Notice (8): Undefined variable: code in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 138]
2012-11-18 11:44:40 Notice: Notice (8): Undefined variable: name in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 139]
2012-11-18 11:44:40 Notice: Notice (8): Undefined variable: message in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 140]
2012-11-18 11:44:40 Notice: Notice (8): Undefined variable: code in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 141]
2012-11-18 11:44:40 Notice: Notice (8): Undefined variable: name in [/home/blabincc/erp.blabinc.com/cake/libs/error.php, line 142]
2012-11-18 12:21:14 Notice: Notice (8): Undefined property: ThemeView::$Layout in [/home/blabincc/erp.blabinc.com/app/views/elements/block.ctp, line 14]
2012-11-18 20:26:07 Notice: Notice (8): Undefined property: UploadsController::$Ad in [/home/blabincc/erp.blabinc.com/app/controllers/uploads_controller.php, line 22]
2012-11-18 20:26:07 Notice: Notice (8): Trying to get property of non-object in [/home/blabincc/erp.blabinc.com/app/controllers/uploads_controller.php, line 22]
2012-11-18 20:37:28 Notice: Notice (8): Undefined index: Location in [/home/blabincc/erp.blabinc.com/app/controllers/uploads_controller.php, line 14]
2012-11-18 20:46:41 Notice: Notice (8): Undefined index: Location in [/home/blabincc/erp.blabinc.com/app/controllers/uploads_controller.php, line 14]
2012-11-18 20:59:28 Notice: Notice (8): Undefined index: Location in [/home/blabincc/erp.blabinc.com/app/controllers/uploads_controller.php, line 14]
2012-11-18 22:14:31 Notice: Notice (8): Undefined variable: user in [/home/blabincc/erp.blabinc.com/app/views/uploads/client_add.ctp, line 9]
2012-11-18 22:27:20 Notice: Notice (8): Undefined index: user_id in [/home/blabincc/erp.blabinc.com/app/controllers/components/file_upload.php, line 217]
2012-11-18 22:28:59 Notice: Notice (8): Undefined index: user_id in [/home/blabincc/erp.blabinc.com/app/controllers/components/file_upload.php, line 217]
